words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
binary,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
logits,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
changing,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
cudnn,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
custom,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
seems,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
torch,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
int,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
str,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
batchnormalization,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
dtype,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
score,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
op,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
dynamic,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
instead,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
always,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
vector,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
index,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
gives,0.84,0.840245776,0.774193548,0.857142857,0.666666667,1,0.903225806
incompatible,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
install,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
random,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sample,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
match,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
float,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
follows,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
fix,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
state,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
eta,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
correct,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
ca,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
linear,0.84,0.842261905,0.8,0.857142857,0.6875,1,0.866666667
variables,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
rnn,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
predicted,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
able,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
convert,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
equal,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
reshape,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
parameters,0.84,0.842261905,0.8,0.857142857,0.6875,1,0.866666667
total,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
params,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
lambda,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
argument,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
successfully,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
every,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
message,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
mean,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
negative,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
super,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
criterion,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
arrays,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
embedding,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
pass,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
models,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
pred,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
installed,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
find,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
nn,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
merge,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
understand,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sure,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
looks,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
seem,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
regression,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
even,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
opened,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
notebook,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
machine,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
pip,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
checking,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
matrix,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
fine,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
history,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
already,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
devices,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
build,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
raise,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
need,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
id,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
question,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
add,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
shuffle,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
without,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
trained,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
units,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sigmoid,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
solve,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
anyone,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
method,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
reason,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
well,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
compute,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
softmax,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
given,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
arguments,0.84,0.840786059,0.8,0.827586207,0.709677419,1,0.866666667
row,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
adam,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
single,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
compile,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
think,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
since,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
mnist,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
driver,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
num,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
advance,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
backend,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
graph,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
df,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
default,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
failed,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
much,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
thank,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
someone,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
define,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
point,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
zero,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sequence,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
created,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
shows,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
improve,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
open,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
appreciated,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
probabilities,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
edit,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
case,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
text,0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
windows,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
part,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
changed,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
returns,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
length,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
count,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
similar,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
throws,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
around,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
multiple,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
rate,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
another,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
neurons,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
deep,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
functions,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
full,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
encoder,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
right,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
padding,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
split,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
process,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
metrics,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
classifier,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
os,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
feed,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
lr,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
exception,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
keyword,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
autoencoder,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
calculate,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
gradients,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
kernel,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
link,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
building,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
apply,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
geforce,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
check,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
defined,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
main,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
read,0.84,0.842261905,0.8,0.857142857,0.6875,1,0.866666667
width,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
seed,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
going,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
column,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
order,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
errors,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
session,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
feature,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
implement,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
currently,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
might,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
files,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
locality,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
path,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
verbose,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
losses,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
problems,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
save,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
solution,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
